iter	Passed	Remaining
0	139	139632
1	141	70379
2	142	47267
3	143	35662
4	144	28683
5	145	24065
6	146	20749
7	147	18251
8	148	16312
9	149	14767
10	150	13496
11	151	12434
12	151	11536
13	152	10766
14	153	10097
15	154	9510
16	156	9030
17	157	8591
18	158	8181
19	159	7818
20	160	7484
21	161	7182
22	162	6889
23	163	6635
24	164	6401
25	165	6197
26	166	5996
27	167	5803
28	168	5634
29	169	5472
30	170	5323
31	171	5183
32	172	5050
33	173	4923
34	174	4804
35	175	4689
36	176	4580
37	176	4477
38	177	4379
39	178	4295
40	179	4209
41	180	4125
42	181	4042
43	182	3972
44	183	3900
45	184	3823
46	185	3755
47	186	3690
48	186	3628
49	187	3568
50	188	3511
51	189	3448
52	189	3391
53	190	3340
54	191	3290
55	192	3243
56	193	3199
57	194	3155
58	195	3114
59	196	3073
60	197	3033
61	197	2993
62	198	2956
63	199	2920
64	200	2884
65	201	2850
66	202	2816
67	203	2784
68	203	2752
69	204	2721
70	205	2691
71	206	2661
72	207	2636
73	208	2610
74	209	2584
75	210	2557
76	211	2532
77	212	2507
78	212	2482
79	213	2459
80	214	2435
81	215	2413
82	216	2391
83	217	2369
84	218	2348
85	219	2327
86	219	2307
87	220	2288
88	221	2270
89	222	2252
90	224	2237
91	225	2222
92	226	2207
93	227	2190
94	228	2175
95	229	2160
96	230	2141
97	231	2126
98	231	2110
99	232	2095
100	233	2076
101	234	2063
102	235	2052
103	236	2038
104	237	2024
105	238	2011
106	239	1997
107	240	1983
108	241	1970
109	241	1957
110	242	1944
111	243	1931
112	244	1915
113	244	1903
114	245	1891
115	246	1879
116	247	1869
117	248	1858
118	249	1849
119	250	1839
120	251	1827
121	252	1813
122	253	1804
123	254	1794
124	255	1785
125	256	1775
126	256	1765
127	257	1754
128	258	1744
129	259	1735
130	260	1725
131	261	1716
132	262	1709
133	263	1701
134	264	1693
135	265	1685
136	266	1676
137	267	1668
138	267	1658
139	268	1650
140	269	1642
141	270	1633
142	271	1625
143	272	1617
144	272	1609
145	273	1601
146	274	1594
147	275	1586
148	276	1581
149	277	1574
150	278	1567
151	279	1560
152	280	1553
153	281	1547
154	282	1540
155	283	1533
156	284	1526
157	285	1519
158	285	1512
159	286	1505
160	287	1499
161	288	1493
162	289	1487
163	290	1480
164	291	1475
165	292	1468
166	292	1460
167	293	1454
168	294	1448
169	295	1442
170	296	1436
171	297	1430
172	298	1424
173	298	1418
174	299	1413
175	300	1408
176	302	1405
177	303	1402
178	305	1402
179	307	1399
180	308	1396
181	309	1392
182	310	1387
183	312	1383
184	313	1380
185	314	1375
186	315	1370
187	316	1364
188	316	1359
189	317	1354
190	318	1349
191	319	1344
192	320	1339
193	321	1334
194	322	1329
195	322	1324
196	323	1319
197	324	1314
198	325	1309
199	326	1305
200	327	1301
201	328	1297
202	329	1292
203	330	1288
204	331	1283
205	331	1279
206	333	1276
207	333	1271
208	334	1267
209	335	1262
210	336	1258
211	337	1254
212	338	1250
213	339	1245
214	340	1243
215	341	1240
216	342	1236
217	343	1232
218	344	1228
219	345	1224
220	346	1220
221	347	1217
222	348	1213
223	349	1209
224	349	1205
225	350	1201
226	351	1197
227	352	1193
228	353	1190
229	354	1187
230	355	1183
231	356	1179
232	357	1176
233	358	1172
234	359	1169
235	359	1165
236	360	1162
237	361	1157
238	362	1154
239	363	1150
240	364	1147
241	365	1144
242	366	1140
243	367	1137
244	368	1134
245	368	1130
246	369	1127
247	370	1123
248	371	1120
249	372	1116
250	373	1113
251	374	1110
252	375	1108
253	376	1105
254	377	1102
255	378	1099
256	379	1096
257	380	1093
258	381	1090
259	382	1087
260	383	1084
261	384	1082
262	385	1079
263	385	1076
264	386	1072
265	387	1069
266	388	1066
267	389	1064
268	390	1061
269	391	1058
270	392	1055
271	393	1053
272	394	1051
273	395	1048
