iter	Passed	Remaining
0	155	155710
1	157	78672
2	159	53079
3	161	40210
4	163	32527
5	164	27328
6	166	23581
7	167	20782
8	168	18582
9	169	16817
10	171	15383
11	174	14348
12	176	13370
13	177	12531
14	179	11769
15	180	11103
16	181	10506
17	182	9972
18	183	9493
19	184	9063
20	186	8674
21	188	8375
22	190	8085
23	191	7799
24	193	7536
25	194	7290
26	195	7056
27	196	6837
28	198	6637
29	199	6464
30	201	6286
31	202	6139
32	204	5997
33	206	5852
34	207	5721
35	208	5592
36	209	5464
37	211	5344
38	212	5228
39	213	5118
40	214	5014
41	215	4919
42	217	4837
43	219	4763
44	220	4678
45	221	4601
46	223	4522
47	224	4449
48	225	4376
49	226	4305
50	227	4236
51	228	4170
52	229	4107
53	231	4055
54	233	4012
55	235	3966
56	237	3923
57	238	3875
58	240	3828
59	241	3781
60	242	3734
61	243	3687
62	245	3655
63	247	3622
64	249	3586
65	250	3547
66	251	3506
67	253	3467
68	254	3428
69	255	3389
70	256	3352
71	257	3316
72	258	3282
73	262	3279
74	263	3252
75	265	3226
76	267	3203
77	268	3172
78	269	3141
79	270	3111
80	271	3081
81	272	3055
82	274	3029
83	277	3021
84	278	2999
85	279	2974
86	281	2956
87	283	2938
88	285	2918
89	287	2904
90	288	2883
91	289	2859
92	290	2836
93	291	2813
94	293	2793
95	294	2772
96	295	2751
97	297	2741
98	299	2725
99	300	2706
100	302	2689
101	303	2671
102	304	2654
103	305	2635
104	308	2626
105	309	2609
106	311	2599
107	314	2598
108	316	2583
109	318	2575
110	319	2562
111	321	2546
112	322	2532
113	323	2516
114	325	2505
115	328	2501
116	329	2485
117	330	2472
118	332	2460
119	333	2445
120	334	2431
121	335	2415
122	336	2401
123	337	2387
124	339	2377
125	341	2372
126	343	2359
127	344	2346
128	346	2338
129	347	2327
130	348	2315
131	350	2302
132	351	2290
133	352	2277
134	354	2270
135	357	2268
136	358	2257
137	359	2246
138	360	2234
139	362	2224
140	363	2215
141	364	2204
142	366	2195
143	370	2199
144	371	2190
145	373	2182
146	375	2177
147	376	2168
148	378	2159
149	379	2150
150	380	2141
151	382	2134
152	384	2129
153	386	2124
154	388	2120
155	390	2112
156	391	2103
157	393	2094
158	394	2084
159	395	2075
160	395	2063
161	399	2065
162	401	2059
163	402	2051
164	404	2045
165	405	2036
166	406	2027
167	407	2019
168	409	2012
169	410	2005
170	412	2002
171	414	1996
172	416	1989
173	417	1982
174	419	1975
175	420	1968
176	421	1960
